grammatical	ungrammatical
c b c c b b c c b b b c b c c b b b c b b c b c b b b c c b b	c b c c b b c c b b b c b c c b d b c b b c b c b b b c c b b
c b c b c b c b b c b c c b b b c b b b b c c b b b c c b b b	c d c b c b c b b c b c c b b b c b b b b c c b b b c c b b b
c c b b c b b c b b c c c c c c b c b b c b b b b b c b c d b	c c b b c b b c b b c c c c c c b c b b c b b b b b c b c d a b
c c b c b c b b b c b b c b b c c c c b c b b b b b b b b c c	c c b c b c b b b c b b c b d c c c c b c b b b b b b b b c c
c c c b b b b b c b b b c b b c b c b c c b b c c b b b c c c	c c c b b b a b c b b b c b b c b c b c c b b c c b b b c c c
c c c b c b c c b c c c b c b c b b c c c c c c b c c b c b b	c c c b c b c c b c c c b c a c b b c c c c c c b c c b c b b
c c c c b c c b b c c c b b c b b c b b c b b c b b b c b d b	c c c c b c c b b c c c b b c b b c b b c b b c a b b c b d b
b b b b b c c b c c b c b b c c c c b b c b b b c c c b b b b c	a b b b b b c c b c c b c b b c c c c b b c b b b c c c b b b b c
b b b b b b c c b b c c c b b b c c b c b c b c b b c c c b b c	b b b b b b c c b b c c c b b b c c b c b d b c b b c c c b b c
b b b c b b c b c b b b c b c b c c b c c b b c b c c b c c b b	b b b c a b c b c b b b c b c b c c b c c b b c b c c b c c b b
b b b c c c b b c b b c c b b c c b b c b b c c b b c c b c c b	b b b c c c b b c b b c c b b c c b b c b b c c b b c c b c a c b
b b c b b c b c b c b c b b b b b b c c b b c c c b b c b d b b	b b c b b c b c b c b c b b b b b b c c b b c c c b a c b d b b
b b c c b c b c c b b b b b c b b c c c c c b c c b c b c c b c	b b c c b a c b c c b b b b b c b b c c c c c b c c b c b c c b c
b b c c c c b b b c c b b b b c c b c c b b c b b b b b b b b c	b b c c c c b b b c c b b b b c c b c c b b c b d b b b b b b c
b c b b b b c b c b b c b c c b b c b b c b b b b c b b b c b d	b c b b b b c b c b b c b c c b d b c b b c b b b b c b b b c b d
b c b b c c c c b b c b b c c c b c c c c b b c b b b b b c c b	b c b b c c c c b b c b b c c c b c c c c b b c b b b a b c c b
b c b c c b c b c b b c b c c b c c b b c c b c b b c c b c c d	b c b c c b c b a c b b c b c c b c c b b c c b c b b c c b c c d
b c c b b b c b b b b c c b c c c b b c c c b b c c c c b d b b	b c c b b b c b b b b c c b c c c b b c d c c b b c c c c b d b b
b c c b c c b c b b b c b b c c b c c c c b b b c b c b c b c b	b c c b c c b c b b b c a b c c b c c c c b b b c b c b c b c b
b c c c c b b b b b c c b b c c b b c b c c b c b c c b b b c c	b c c c c b b b b b c c a b c c b b c b c c b c b c c b b b c c
c c b b c b c c b b c b c b c b c b c c b c b c b b b c b c d b	a c b b c b c c b b c b c b c b c b c c b c b c b b b c b c d b
c b b b b c c b b b b c c c c c c c b c b b c b b b b c b c b b	c b b b b c c b b b b c c c c c a c c b c b b c b b b b c b c b b
c b b c b b b b b b b c c b c c c b b b c c b b c b c c b b d b	c b b c b b b b b b b c c b c a c c b b b c c b b c b c c b b d b
c b b c c c b b b b c b b b b c c b c b c b b b b c c b c b c b	c b b c c c b b b b c b b b b c c b c b c b b d b b c c b c b c b
c b c b b c b b c b c c b b c c c b b c c b c c c b b b b b b b	c b c b b c b b c b c c b b d c c b b c c b c c c b b b b b b b
c b c b c c c b b c b b b c b c c c b c b b b c c c c b b c b c	c b c b c c c b b c b b b c b c c c b c b b b a c c c b b c b c
c b c c c c b b c b c c b c b c c b b c c b c c b c c c c b b b	c b c c c c b b c b c c b c b c c b b c c b c a b c c c c b b b
c c b b b c b c b b c c b c c b b c b b b b b b c b c c b b b d	c c b b b c b c b b c c b c c b a b c b b b b b b c b c c b b b d
c c b c b b c b b b c c b c b c b c b c c b c c c b b c d b b b	c c b c b b c b b b c c b c a c b c b c c b c c c b b c d b b b
c c b c c c c c b c b b b b b c b b b b b c c c b c b c c c c d	c c b c c c c c b c b b b b b c b b b b d c c c b c b c c c c d
c c c b c b c b c b b b b b c b b b c c b b c c b b b b c c c c	c c c b c b a c b c b b b b b c b b b c c b b c c b b b b c c c c
c c c c b b c c c c c c b b b c b c c c b b b c c c c c c b b b	c c c c b b c c c c c c b b b c b c c c b b b c c c c c d c b b b
b b b b b b c c c b c c c c c b b b c c c c c c c c c b b b c c d	a b b b b b b c c c b c c c c c b b b c c c c c c c c c b b b c c d
b b b b b b b c b b b b c c c c b b c c c b c b c c b c b b b b c	b b b b b b b c b b b b c c c c b b c c c b c b c c b d b b b b c
b b b b c c c b c b b b b b c c c b c c b c b b c c b b c c c c d	b b b b c c c b c b b b b b c c c b c c b c b b c d c b b c c c c d
b b b c c b b c c c b c c c b c c b c b c b c b b b b b c b c c d	b b b c c b b c d c b c c c b c c b c b c b c b b b b b c b c c d
b b c b b c b c c b c b b b b b b c c c b b b c b b c b c c b b b	b b c b b a b c c b c b b b b b b c c c b b b c b b c b c c b b b
b b c c b b c b c c b b c c b b c c b b c b c b c b c c b b c c d	b b c c d b b c b c c b b c c b b c c b b c b c b c b c c b b c c d
b b c c c c b b c c c c b b b c b b b c b c c c b b c c c c b c c	b b c c c c b b c a c c c b b b c b b b c b c c c b b c c c c b c c
b c b b b b c b c b b c b c c b b b c c b b c b c c c b b b b b d	b c b b b b c b c b b c b c c b b b c c b b c b c c c b b b a b b d
b c b b c c c c b c b b b c c b c c b c b b c b c b b b b b b d b	b c b b c c c c b c b b a b c c b c c b c b b c b c b b b b b b d b
b c b c c b c b c c b b b b b b b c c c b c b b b b c c c b c c b	b c b c c b c b c c b b b b b b b c c c b a c b b b b c c c b c c b
b c c b b c c c c b b b b c b c b c b b b c b c b c b b b c c b c	b c c b b c c c c b b b b c b c b c b b b c b c a b c b b b c c b c
b c c c b b c b c b c c c c c c b c b c b b b c c b b c c b b c d	b c c c b b c b c b c c c c c c b c b c b b b c c b d b c c b b c d
b c c c c c b c c b c c c c c c c b c b b c c b b c c c d b b b b	b c c c c c b c c b c c c c c c c b c b b c c b b c c c d b a b b b
c b b b b b b c c c b b c c b c b c c c c c c c b c c b c b b c c	c b b b b b b c c c b b c a c b c b c c c c c c c b c c b c b b c c
c b b b c c b c c b b b c c b c c b c b b b c c c b c c c c c b c	c b b b c c b c c b b b c c b c c b c b b b c c c b c c c c d b c
c b b c c b c b b b b c b c c c b b b c c b c b c c c c b c b b d	c b b c c b c b b b b c b c c c b b b c c b c b c c a c b c b b d
c b c b b b c b c b c c c c b b c b b b c c c b b c b c c b c d b	c b c b b b c b c b c c c c b b d c b b b c c c b b c b c c b c d b
c b c b c c b b c c b c c c c c c b b b c c b c c c b b c b c b c	c b c b c c b b c c b c c c c c c b b b c c d c c c b b c b c b c
c b c c c b b c b c c c b c c c c c b c c b c c c c c c b c b d b	c b c c c b b c b c c c b c a c c c c b c c b c c c c c c b c b d b
c c b b b b b c c b c c b c c c c b c b b c c c c b c c c b b c d	c c b b b b b c c b c c b c c c c b c b b c c c c b c c c b a c d
c c b b c b c b b c b c c b b c b c b c c c b c c b c b c c b c b	c c b b c b c b b c b c d b b c b c b c c c b c c b c b c c b c b
c c b c b c b c b c c c b b b c b c c c b b c c b c c b c d b b b	c c b c b c b c b c c c b b b c b c c c b b c c b c d b c d b b b
c c c b b c b b b c b c b b c b b c b c c c c b c c b c d b b b b	c c c a b c b b b c b c b b c b b c b c c c c b c c b c d b b b b
c c c b c b c b b b c c c c c c b b b b c b c c c b c c c b c b c	c c c b c b c a b b b c c c c c c b b b b c b c c c b c c c b c b c
c c c c b c b c b b b c c b b c b c c c b b b b c b b b b b b b c	c c c c b c b c b b b c a b b c b c c c b b b b c b b b b b b b c
b b b b c c b b b b b b b c c b b c c b c b b b c b b b b c d b b b	a b b b b c c b b b b b b b c c b b c c b c b b b c b b b b c d b b b
b b b b b b c c b c b c c c c c b c c b b b c c c c b b b c c b c b	b b b b b b c c b c b c c c c c b c c b b b c c c c b b b d c b c b
b b b c b b b b c c c b b c b b c b b b c b b b b c b c c c b c b c	b b b c b b b b c c c b b c b b c b a b c b b b b c b c c c b c b c
b b b c c c b c b c b b c b c b c c b b c c c b c c b c c b c c c d	b b b c c c b c a b c b b c b c b c c b b c c c b c c b c c b c c c d
b b c b b c b c b c c c c b c c b c b b c b b b c c c b b c b c b d	b b c b b c b c b c c c c b c c a c b b c b b b c c c b b c b c b d
b b c c b b b b b b c c b c b b b b c b b c c c c c b b c b b b d b	b b c c b b b b b b c c b c b b b a c b b c c c c c b b c b b b d b
b b c c c b c c c c c b c c b b c c c b b c c b b c c c b b b b b c	b b c c c b c c c c c b c c b b c c c b b c d c b b c c c b b b b b c
b c b b b c b c b b b b b c c c b c b c b b b b b c c b b c c c c c	b c b b b c b c b b b b b c c c b c b c b b b b b c c b b c d c c c
b c b c b b b b b c c c b c b c c b c c c b b b b c c c b b b c b d	b c b c b b b a b c c c b c b c c b c c c b b b b c c c b b b c b d
b c b c c c b b c b c b b c b c c b c b b b b c c c c b b b c c d b	b c b c c c a b b c b c b b c b c c b c b b b b c c c c b b b c c d b
b c c b b c b b c c b c b b c c b b c b b b b b b b c c c b b b b d	b c c b b c b b c c b c b b c c b b c b b b b b b b c d c b b b b d
b c c b c c c c b b b b c c c c b b c c c b c c b c b b b c c b b c	b c c b c c c c b b b b c c c c d b c c c b c c b c b b b c c b b c
b c c c c c b b b c c b c b c b c c b b b b b c c c b c c b c b b b	b c c c c c b b b c c b c b c b c c b b b b b c c c b c c d b c b b b
c b b b b b c c c b b b b c b c c c b c b b c c c c c b b c c d b b	c b b a b b c c c b b b b c b c c c b c b b c c c c c b b c c d b b
c b b b c b c c b b c c b c b c c c b b c b b c b c b c b c b c b d	c b b b c b c c b b c c b c b d c c b b c b b c b c b c b c b c b d
c b b c b c c c c b b c b c b c b b b c b b c b b c b c c c b b c c	c b b c b c c c c b b c b c b c b b b c b b a c b b c b c c c b b c c
c b c b b b b c b c b b c b b c c c b c b c b c b b c c b c b c b d	c b c b b b b c b c b b c b b c c c b c b c b c b b c c b c b c b d a
c b c b c c c c c c b c c c c b c b b c b b c b c c c b c b c b b d	c b c b c c c d c c c b c c c c b c b b c b b c b c c c b c b c b b d
c b c c c b b c b b c b b c b b b b c c c b b b c c c b c d b b b b	c b c c c b b c b b d b b c b b b b c c c b b b c c c b c d b b b b
c c b b b b b c c b b b c b c c b c b c b b b c c b d b b b b b b b	c c b b b b b c c b b b c b c c b c b c b b b c c b d b b b b b c b
c c b b c b c c b c b b b c b c b b b b b b c b b b b b c c b c c b	c c b b c b c c b c b b b a b c b b b b b b c b b b b b c c b c c b
c c b c b c b b b b b c c c c c c c c b c c b c b c c c d b b b b b	c c b c b c b b b b a c c c c c c c c b c c b c b c c c d b b b b b
c c c b b b b c c c b b b b b b c c c c c c b c c b b b b b b b c c	c c c b b d b b c c c b b b b b b c c c c c c b c c b b b b b b b c c
c c c b c c b b b c c c b b b b c c b b b b c c b b b c b b c c d b	c c c b c c b b b c c c b b b b c c b b b b c c b b b c b b d c d b
c c c c b c c c b b c c c b c b c c c b c b b b b b c b b b c d b b	c c c c b c c c b b c c c b c b c c c b c b b b b b c b b b a d b b
b b c b b b c b b c b b c c b c c c c c c c c b c c b c c c b c c b b	a b b c b b b c b b c b b c c b c c c c c c c c b c c b c c c b c c b b
b b b b b b c b b b c c c b c b c b b c b c c c b b b c b c c c b b c	b b b b b b c b b b c c c b c b c b b c b c c c b b b c b c c c b a c
b b b b c c c b b b c c c c b b c c b c b b c b b b c b b b b b b b c	b b b b c c c b b b c c c c b b c c b c b b d b b b c b b b b b b b c
b b b c c b b c b c b b c c b b b c b b b c b c c b b b b d b b b b b	b b b c c b b c b c b b c a b b b c b b b c b c c b b b b d b b b b b
b b c b b c b b b b b b c b b c c c c b b c b c b b c c b b c c b b b	b b c b b c b b b b b b c b b c c c c b b c b c b b a c c b b c c b b b
b b c c c b b b c c c b b b c b c c c c b b b b b c c c b b b b b d b	b b c c a c b b b c c c b b b c b c c c c b b b b b c c c b b b b b d b
b b c c c c b b c b c b c c b b c b c b b c c c b b b c c b b b c b c	b b c c c c b b c b c b c c b a b c b c b b c c c b b b c c b b b c b c
b c b b b c b b c b c c b c c b b b b b b b c b c c c b c b c c b b d	b c b b b c b b c b c c b c c b b b b b b b c b c a c b c b c c b b d
b c b b c c c c c c b b c c c b b c c c b c c b c c b b c c b c b b b	b c b b c c c c c a c b b c c c b b c c c b c c b c c b b c c b c b b b
b c b c c b c c c b b c b c c b b b c c b b c b b c c c b b c b c c c	b c b c c b c c c b b c b c c b b b c c b b c b b c c c a b c b c c c
b c c b b b c c c c b b c c c c b c b c b b c c b c c b c b c b b c d	b c c b b b c c c c b b c c a c c b c b c b b c c b c c b c b c b b c d
b c c b c c c b c c c b b b c b b b b c c c c b c c b c c b c c c c d	b c c b c c c b c c c b b b c b b b b d c c c c b c c b c c b c c c c d
b c c c c b b c b b b b c b c c b b c b b c b b c c b b b b c c c d b	b c c c c b b c b b b b c b c c b d c b b c b b c c b b b b c c c d b
c c b c b b c b c b b b b c c b c c b c b b c b c c b c c c b b c b b	c a c b c b b c b c b b b b c c b c c b c b b c b c c b c c c b b c b b
c b b b c b b c c b b c b b b b c b c c c b c b b c c c c b c b c b d	c b b b c b b a c b b c b b b b c b c c c b c b b c c c c b c b c b d
c b b c b c b b b c c c c c b c c c b b b c c c c c b b b c b b b b c	c b b c b c b b b c c c c c b c c c b b b c c c c c b b b c b b b a b c
c b c b c c c c b b b b c c c c c c c b c c c c b c c c c c b b b c c	c b c b d c c c c b b b b c c c c c c c b c c c c b c c c c c b b b c c
c b c b c b c b b b c b c b b c b c b b c c c b c c c c c c c c c c d	c b c b c b c b b b c b c b b c a c b b c c c b c c c c c c c c c c d
c b c c b c b c c b c b b c c c c b b c b b b b c c c c c c b c c c b	c b c c b c b c c b c b a c c c c b b c b b b b c c c c c c b c c c b
c b c c b c c b b b b c c c c c c b b b b b b b c c b c b b b b b c d	c b c d b c c b b b b c c c c c c b b b b b b b c c b c b b b b b c d
c c b b c b b b c b c c c b b b c b b b b c c c b b b b b c b b c d b	c c b b c b b b c b c c c b b b c b b b b c c a b b b b b c b b c d b
c c b c b c b b c c b c c c b c c b b c b c c b b c b b b b c b b c d	c c b c b c b b c c b c c c b c c b b c b c c b d c b b b b c b b c d
c c c b c c c c c b c b c b b b b b c c c c b c c c c c b c c b b b c	c c a b c c c c c b c b c b b b b b c c c c b c c c c c b c c b b b c
c c c b c b c b c b b c c c b c b b c b c c b c c c b b c b c c c b b	c c c b c b c d b c b b c c c b c b b c b c c b c c c b b c b c c c b b
c c c c b c b c c c b c c c c c c c c c c b b b c c c c b c b c b c b	c c c c b c b c c c b c c c d c c c c c c c b b b c c c c b c b c b c b
b b c b c b c c c c b b b c b b b b c b b c b c b c c b c c b c b b d b	a b b c b c b c c c c b b b c b b b b c b b c b c b c c b c c b c b b d b
b b b b b b b c c b b c b c b c b c c b b c b c b b b c b c c b c b d b	b b b b b b b c c b b c b c b c b c c d b b c b c b b b c b c c b c b d b
b b b b c b c c b c b c c b c b c b b b c b b c c c b b c b b c b c c b	b b b b c b c c b c b d c c b c b c b b b c b b c c c b b c b b c b c c b
b b b c b c c b c c b b b b c c c b b c b c c b b b c c b b b c b c c b	b b b c b c c b c c b b b b c c c b b c d c c b b b c c b b b c b c c b
b b c b b b b c b c b c c c c c b c b b c b b c b b c b c c c c b c b c	b b c b b b b c b c b c c c c c b c b b c b b c b a b c b c c c c b c b c
b b c b c c b b c c c c b c b c b c c c b b b c c b c c b c b b b b d b	b b c b c c b b c a c c b c b c b c c c b b b c c b c c b c b b b b d b
b b c c c b b b b c b c b c b c b c c c c c b b c b c c c c b b b b c b	b b c c c b b b b c b c b c b c b c c c c c b b c a b c c c c b b b b c b
b c b b b b b b c b b b c c c c c c b b b b b c b b c b c b c b c c c c	b c b b b b b b c b b b c c c c c c b b b b b c b b c b c b d c b c c c c
b c b b c c c b c c c c c c b b c b b c b c b b b c b b c b c c b c c c	b c b b c c c b c c c c c c b b c b b c b a b b b c b b c b c c b c c c
b c b c c b b b c c c b c c c b b c b c c b b b c b b c c b c b c c c b	b c b c c b b b c c c b c c c b b c b c c b b b c b b d c b c b c c c b
b c c b b b c b c b c b b b c b b b c c b c b b b c c b c b b c b b d b	b c c b b b c b c b c b b a c b b b c c b c b b b c c b c b b c b b d b
b c c b c c c c c b b c c b b b b b b b c b b c c c b b b b c b b b c b	b c c b c c c c c b b c c b b b b b b b d c b b c c c b b b b c b b b c b
b c c c c b b b c c c c c c c b c b b c b c c b c c c c b b b c c c b c	b c c c c b b b c c c c c c c b a c b b c b c c b c c c c b b b c c c b c
c b c c c c c b c c b c b c c b b b b b c b b c b c c b c b c b b c c b	c a b c c c c c b c c b c b c c b b b b b c b b c b c c b c b c b b c c b
c b b b b c c b c c b c b b c b c c c b b b b b b b c b b b b c c c b d	c b b b b c c b c c a b c b b c b c c c b b b b b b b c b b b b c c c b d
c b b c b b b c c c b c b c b c c b c c b c c b b c c c b b c b c b b c	c b b c b b b c c c b c b c b c c b c c b c c b b c a c b b c b c b b c
c b b c c c c b b b b c c b c b c c b b b b b b c c c c b c b b b c b c	c b b c c c c b b b b c c b c b c c b b b b b b c c c d c b c b b b c b c
c b c b c b b b b c c b b c b b c b b c c c b b c c b b c c c c c c c b	c b c b c b b b b c c b b c b b c b b c c d b b c c b b c c c c c c c b
c b c c b c b c b b c b c c b b b c c b b b b c c b b b c c b b b b b b	c b c c b c b c b b c b c c b b b c c b b b b c c b d b c c b b b b b b
c b c c c c c b b b b c c b c b b b c b c c b b c b c c c b b c b b b c	c b c c c d c b b b b c c b c b b b c b c c b b c b c c c b b c b b b c
c c b b c b b b c c b b c c b c c c c c b c b c b b c b b b b b c c c c	c c b b c b b b c c b b c c b c c c c c d c b c b b c b b b b b c c c c
c c b c b c b c c c c b c b b c c b c b c c c b b c c b b c c b b c c c	c c b c b c b c c c c b a c b b c c b c b c c c b b c c b b c c b b c c c
c c c b b b b c b b b b c b b c b b b c c c c b b b b c c b c c c b c d	c c c b b b b c b b b b c b a c b b b c c c c b b b b c c b c c c b c d
c c c b c c b b b c c c c b c b b c c b b c c c c b b c c c b c b b c c	c c c b c c b b b c c c c b c b b c c b b c c c c b a c c c b c b b c c
c c c c b c c c b b c b b b b b c b c c c b c b b c b c b b c b c c b b	c c c c b c c c b b c b b d b b b c b c c c b c b b c b c b b c b c c b b
b b b c b b c c c c b c c b b c b b c c b b c b c b b c b b b b c b c c b	a b b b c b b c c c c b c c b b c b b c c b b c b c b b c b b b b c b c c b
b b b b b b b c c c c b b b b c b b c b c c c c b b c b b c b b c c c c c	b b b b b b b c c c c b b b b c b b c b c c c a b b c b b c b b c c c c c
b b b b c c b c c c b c b b b b b c c c b c c c b c c c b b c b b b c b c	b b b b c c b c c c b c b b b b b c c c b c c c b c c a c b b c b b b c b c
b b b c c b b b c c b b b c c c b c b b c b b c b c b c c c c c c c c c b	b b b c c b b b c c b b b c c c b c b b c b b c b c b c c c d c c c c c c b
b b c b b b c b b c b c b c c c b b b b c b b c c c c b b c c c c b b c d	b b c b b b c b b c b c b c c c b b b b c b b c c c c b b c c c c a b c d
b b c b c c b c c b b b c c c b c b b c b c c c c c c c b c b c c b b b c	b b c b c c b c c b b b c c c b c b b c b c c c c c c c b c a b c c b b b c
b b c c c b b b c b b b b c b b b b c c c b c b b c b c b b c b c b c b b	b b c c c b b b c b b b b c b b b b c c c b c d b c b c b b c b c b c b b
b c b b b b b c b b b b b b c b b b c c c c b b c b b c b c b c c b c c b	b c b b b b b c b b b b b b c b b b c c c c b b c b b c b c b c d b c c b
b c b b c c b b c b c b b b c b c b b b b b b b c b b b c b c c c c c c d	b c b b c c b b c b c b b b c b c a b b b b b b c b b b c b c c c c c c d
b c b c c b b c c b c c c b b b b c c c b c c b b b b b c b c b b b b c c	b c b c c b d b c c b c c c b b b b c c c b c c b b b b b c b c b b b b c c
b c c b b b c b c b c c b b b b b c b c c b b b c b c c c c c c b c b c c	b c c b b b c b c b c c b b b d b c b c c b b b c b c c c c c c b c b c c
b c c b c c c b c c b c b b b b b b b c b b c c b c b b c c b c c b c d b	b c c b c c c b c c b c b b b b b b b c b b c c b c b b c c b c c b c d c
b c c c c b c c b b c c c c b b c c c b b b b b b b b c b b b c b b b c d	b c c c c b c c b b c c c c b b c c c b b b b b b b a c b b b c b b b c d
c b b c c b c b c b b c b c c b c c b b c c b b b b c b b b b b b c c c b	c b a b c c b c b c b b c b c c b c c b b c c b b b b c b b b b b b c c c b
c b b b c b b c c b c b c c b b b c b c b c c b c b c c b b c b c c b c d	c b b b c b b c c b c b c c b b b c d b c b c c b c b c c b b c b c c b c d
c b b c b c b b c c c c b b b b b b c b c b b b b c b c c c c b c c b c d	c b b c b c b b c c c c b b b b b a c b c b b b b c b c c c c b c c b c d
c b c b b b b b b c c c b b c c b c b b c c b c b c c b b b c b c c b c c	c b c b b b b b b c c c b b d c c b c b b c c b c b c c b b b c b c c b c c
c b c b c b c c c c c b b b c c b c b b c b b b c c c b b b b c b c c b c	c b c b c b c c c c c b b b c c b c b b c b b b c a c b b b b c b c c b c
c b c c b c b c c c c b c b b b b c c c c c b c c b c c c c b b c c c b d	c b c c b c d c c c c b c b b b b c c c c c b c c b c c c c b b c c c b d
c c c b b b c c c c c b b b b c b b c b c b c b c c b c b c b c b c c c b	c c d c b b b c c c c c b b b b c b b c b c b c b c c b c b c b c b c c c b
c c b b c b c b b b c c b c c c c b c b c c b c b c b c b b c c b c c d b	c c b b c b c b b b c c b c c a c b c b c c b c b c b c b b c c b c c d b
c c b c b c c b c b b b b c c c b c c c b b c c c c b c b c c c c c c b c	c c b c b c c b c b b b b c c c b c c c b b c c c c b d b c c c c c c b c
c c c b c c c b c c c c b c c c b c c c b b b c c c b c c b c b c c c b b	c c c a b c c c b c c c c b c c c b c c c b b b c c c b c c b c b c c c b b
c c c b c b b c b c b b c b c c b b b b b c c c b c b c c c b b c c c b c	c c c b c b b c b c b b c b c c b b b b b c c c b c b c d c b b c c c b c
c c c c b c c b b b c c b b c b b b c c b b b b b c c b c c c b b c b c b	c c c c b c c b b b c c b b c b b b c c b b b b b c c b c c c b b c a c b
b b b c c c b b b b c c c b b b b c b c b c c c b c b c c b b b b c b b b c	a b b b c c c b b b b c c c b b b b c b c b c c c b c b c c b b b b c b b b c
b b b b b b b b b c b c c c c b b b b c c b b b c c c b b c b b b b c b d b	b b b b b b b b b c b d c c c b b b b c c b b b c c c b b c b b b b c b d b
b b b b c b c c b c b c b b c c c b b b b c b b c c c b b c b b c b b c d b	b b b b c b c c b c b c b b c c c b b b b c b b c c c b b c b b c a b b c d b
b b b c b c b c c b c c c c b c c b c c b b b b b c c c b b b b b b b c d b	b b b c b c b c c b c c c c b c c b c c b b b b b c c c b b b b b b d c d b
b b c b b b b b c b b b b c b b c b b c b c b c b c b b c c c c c c c b b b	b b c b b b b b c b b b b c b b c b b c b c b c b c b b c c d c c c c c b b b
b b c b c c b c b c b b b c c c b c c c c c b c b c c c c c c b c c b c c d	b b c b c c b c b c b b b c c a c b c c c c c b c b c c c c c c b c c b c c d
b b c c c b b b c c b c c c b b c c c b c b c b c c b c c b b b b c d b b b	b b c c c b b b c c b c c c b d c c c b c b c b c c b c c b b b b c d b b b
b c b b b b b b c b b b c b c b b b c b b c c c c b b b c c b b c c b c b c	b c b b b b b b c b b b d b c b b b c b b c c c c b b b c c b b c c b c b c
b c b b c c b b b c c b c c c c c c b c b c c b c c b c b c b b b c c b c d	b c b b c c b b b c c b c c c c c c b c b c c b c c b c b c b b b c c b c d d
b c b c b c b c b b b c c c c c b b c b c c c b c c c b b c c c c c c b c b	b c b c d c b c b b b c c c c c b b c b c c c b c c c b b c c c c c c b c b
b c c b b b c c c b c b c b b c b c b c b b c b c c c c c c c b b c b c b c	b c c b b b c d c c b c b c b b c b c b c b b c b c c c c c c c b b c b c b c
b c c b c c c c b b c c c b b c c c c b b c b b b c b b b c b c b c c c c d	b c c b c c c c b b c c c b b c c c c b b c b b b c b b b c a b c b c c c c d
b c c c c b b b c c c b b c c b b c c c b b b b c b c b c c c b b c c c d b	b c c c c b b b c c c b b c c b b c c c b b b b c b c b c c d c b b c c c d b
c b c b c b c c b c c b b c c b b b b b c b b c b c b b b c c c b b b b c d	c b a c b c b c c b c c b b c c b b b b b c b b c b c b b b c c c b b b b c d
c b b b c b c c b c c c b c b b c b b b b b c c b b b c c c b b b b b b b b	c b b b c b c c b c c c b c b b c d b b b b b c c b b b c c c b b b b b b b b
c b b c b c c c b c b c c c c b c c b c b b c b c c c b c c b b b b b b c c	c b b c b c c d c b c b c c c c b c c b c b b c b c c c b c c b b b b b b c c
c b c b b c c c c c b c c b b c b b b b b c c c b b c c b c b b c c c c b b	c b c b b a c c c c c b c c b b c b b b b b c c c b b c c b c b b c c c c b b
c b c b c b c c c c c c c b c c b c c b b b c b b b c c b b c b b d b b b b	c b c b c b c c c c c c c b c c b c c b b b c b b b c c b b a c b b d b b b b
c b c c b c c b b b b b c c b b b c c b c b c b b c c b c b b c c b b b c c	c b c c b c c b b b b b c c b b b c c b c b c b b c c b c b b c c b b b a c
c c c c b b b b b c b c b c b b b b c b b b b c c c c b c b b b b c c b d b	c a c c b b b b b c b c b c b b b b c b b b b c c c c b c b b b b c c b d b
